close,timestamp,exchange,expiry,high,low,open,oi,type,instrument,volume
12748.9,30/01/13 11:31,NFO,31-Jan-13,12751,12745.1,12750,874475,Futures,CNXBAN,2775
12745.8,30/01/13 11:32,NFO,31-Jan-13,12750,12744.8,12748.9,874475,Futures,CNXBAN,3550
12745,30/01/13 11:33,NFO,31-Jan-13,12748.85,12743.65,12745.8,874475,Futures,CNXBAN,2175
12740,30/01/13 11:34,NFO,31-Jan-13,12745.2,12738.5,12745,873175,Futures,CNXBAN,8975
12741.35,30/01/13 11:35,NFO,31-Jan-13,12742,12737.95,12738.5,873175,Futures,CNXBAN,3700
12745,30/01/13 11:36,NFO,31-Jan-13,12745.1,12741,12741.35,873175,Futures,CNXBAN,1825
12748.35,30/01/13 11:37,NFO,31-Jan-13,12750,12745,12745,876775,Futures,CNXBAN,1775
12749.4,30/01/13 11:38,NFO,31-Jan-13,12749.8,12747.5,12748.35,876775,Futures,CNXBAN,625
12745,30/01/13 11:39,NFO,31-Jan-13,12749.1,12744.5,12749.1,876775,Futures,CNXBAN,1475
12751,30/01/13 11:40,NFO,31-Jan-13,12751,12744.8,12746.7,875700,Futures,CNXBAN,1825
12753,30/01/13 11:41,NFO,31-Jan-13,12756,12751,12751,875700,Futures,CNXBAN,1075
12747.3,30/01/13 11:42,NFO,31-Jan-13,12755,12747.3,12753,875700,Futures,CNXBAN,1525
12745,30/01/13 11:43,NFO,31-Jan-13,12747.4,12742,12747.3,876850,Futures,CNXBAN,3050
12739,30/01/13 11:44,NFO,31-Jan-13,12745,12731.4,12745,876850,Futures,CNXBAN,10550
12739.95,30/01/13 11:45,NFO,31-Jan-13,12741.6,12737,12739,876850,Futures,CNXBAN,2375
12744.55,30/01/13 11:46,NFO,31-Jan-13,12745,12739,12739.95,875550,Futures,CNXBAN,2250
12746.1,30/01/13 11:47,NFO,31-Jan-13,12746.55,12740.5,12744.55,875550,Futures,CNXBAN,1800
12751,30/01/13 11:48,NFO,31-Jan-13,12751,12746.1,12746.1,875550,Futures,CNXBAN,1850
12741,30/01/13 11:49,NFO,31-Jan-13,12752,12741,12751,876475,Futures,CNXBAN,2850
12741.1,30/01/13 11:50,NFO,31-Jan-13,12743.95,12739.1,12741,876475,Futures,CNXBAN,825
12742,30/01/13 11:51,NFO,31-Jan-13,12743.95,12741.1,12741.1,876475,Futures,CNXBAN,975
12741.05,30/01/13 11:52,NFO,31-Jan-13,12745,12740.25,12742,876375,Futures,CNXBAN,1050
12739,30/01/13 11:53,NFO,31-Jan-13,12743.8,12738.15,12741.05,876375,Futures,CNXBAN,1325
12739.5,30/01/13 11:54,NFO,31-Jan-13,12741.95,12739,12739,876375,Futures,CNXBAN,1475
12750,30/01/13 11:55,NFO,31-Jan-13,12750,12737.1,12739.5,876125,Futures,CNXBAN,2850
12751,30/01/13 11:56,NFO,31-Jan-13,12752.95,12748.3,12750.95,876125,Futures,CNXBAN,1475
12748,30/01/13 11:57,NFO,31-Jan-13,12752.4,12747,12751,876125,Futures,CNXBAN,1650
